ticket_id,account_id,severity,status,sentiment
TKT-10,ACC-1001,Critical,Open,Positive
TKT-11,ACC-1001,Low,Open,Positive
TKT-12,ACC-1001,Low,Pending,Positive
TKT-13,ACC-1001,Critical,Open,Neutral
TKT-14,ACC-1001,High,Open,Positive
TKT-15,ACC-1001,Critical,Closed,Neutral
TKT-20,ACC-1002,Low,Pending,Neutral
TKT-21,ACC-1002,Low,Closed,Positive
TKT-22,ACC-1002,High,Pending,Negative
TKT-23,ACC-1002,High,Pending,Positive
TKT-24,ACC-1002,Low,Open,Negative
TKT-25,ACC-1002,Medium,Closed,Positive
TKT-26,ACC-1002,Medium,Open,Neutral
TKT-27,ACC-1002,High,Closed,Negative
TKT-30,ACC-1003,Medium,Open,Neutral
TKT-31,ACC-1003,Critical,Closed,Negative
TKT-32,ACC-1003,Medium,Pending,Neutral
TKT-33,ACC-1003,Low,Open,Positive
TKT-34,ACC-1003,High,Closed,Neutral
TKT-35,ACC-1003,Low,Open,Negative
TKT-40,ACC-1004,Critical,Pending,Neutral
TKT-41,ACC-1004,High,Open,Positive
TKT-42,ACC-1004,Critical,Open,Positive
TKT-43,ACC-1004,Low,Open,Negative
TKT-44,ACC-1004,Medium,Pending,Neutral
TKT-45,ACC-1004,Low,Closed,Neutral
TKT-46,ACC-1004,Critical,Pending,Neutral
TKT-50,ACC-1005,Medium,Closed,Positive
TKT-51,ACC-1005,High,Pending,Positive
TKT-52,ACC-1005,Low,Pending,Neutral
TKT-53,ACC-1005,Medium,Open,Neutral
TKT-54,ACC-1005,Medium,Pending,Negative
TKT-60,ACC-1006,Low,Open,Negative
TKT-61,ACC-1006,Critical,Open,Negative
TKT-62,ACC-1006,Medium,Open,Negative
TKT-63,ACC-1006,Critical,Pending,Positive
TKT-64,ACC-1006,High,Pending,Negative
TKT-65,ACC-1006,Critical,Open,Negative
TKT-70,ACC-1007,Low,Closed,Positive
TKT-71,ACC-1007,Medium,Pending,Positive
TKT-72,ACC-1007,Low,Open,Negative
TKT-80,ACC-1008,Medium,Pending,Negative
TKT-81,ACC-1008,Critical,Open,Neutral
TKT-82,ACC-1008,Critical,Open,Positive
TKT-90,ACC-1009,Critical,Pending,Neutral
TKT-91,ACC-1009,Low,Open,Positive
TKT-100,ACC-1010,Low,Open,Negative
TKT-101,ACC-1010,Low,Open,Positive
TKT-102,ACC-1010,Medium,Closed,Neutral
TKT-103,ACC-1010,Critical,Open,Neutral
TKT-104,ACC-1010,Low,Open,Neutral
TKT-105,ACC-1010,Low,Closed,Neutral
TKT-106,ACC-1010,Critical,Closed,Neutral
TKT-107,ACC-1010,Critical,Open,Positive
